r ee err
0.12542953543000893 0.03529337513748265 0.012399837827128756
0.18922183173374835 -0.0010445353759285236 0.009324111569016923
0.2854582972178391 0.013920514264384731 0.007570443059500786
0.4306397348756603 0.004598775854678272 0.0061654023190946825
0.6496591027874654 0.0018018469714061736 0.004745005010227815
0.9800696862226984 0.007838662315702294 0.003598541367800348
1.478524022416255 0.000621306849007075 0.002403746036587515
2.2304876026593243 -0.0010321565011955913 0.0030100487710556715
3.364892873019744 -1.0130403020613965e-05 0.0017159383053731586
5.076246123672545 0.0021356770013031268 0.0013182136509642948
7.657977736740074 0.0017687592684776376 0.0008944109284522805
11.552754060313097 3.281790784182004e-05 0.00042927994190042573
17.428377434131328 0.0003473898518958629 0.00032080858355027685
26.292288263107537 0.00012505405734059005 0.0002289638581366619
