r xi err
0.12542953543000893 1625.7271540230738 940.5826340235707
0.18922183173374835 638.3048321880548 173.54585237196196
0.2854582972178391 306.4164907255423 44.23926452626083
0.4306397348756603 154.41219766386732 11.400962295432718
0.6496591027874654 74.92776524621496 4.737844481536711
0.9800696862226984 32.068896669092645 2.1203525933689673
1.478524022416255 12.814786562028612 0.9187438116025118
2.2304876026593243 5.460195820636094 0.40081755094889243
3.364892873019744 2.6115956316198865 0.2404138299172202
5.076246123672545 1.3110777793302346 0.09375941801665648
7.657977736740074 0.6629285438474277 0.03913188525708535
11.552754060313097 0.31548792631253075 0.028103198372409013
17.428377434131328 0.14755220450075845 0.01692424161280855
26.292288263107537 0.053092245735550714 0.013748138274272468
