r xi err
0.12542953543000893 1326.3067846276601 0.0
0.18922183173374835 743.1873042445465 0.0
0.2854582972178391 405.5794197508938 0.0
0.4306397348756603 208.2971052046143 0.0
0.6496591027874654 99.30524836470087 0.0
0.9800696862226984 41.410762871775304 0.0
1.478524022416255 14.748222772020181 0.0
2.2304876026593243 5.288707064398918 0.0
3.364892873019744 2.418250115022848 0.0
5.076246123672545 1.293086421528745 0.0
7.657977736740074 0.6912168831541359 0.0
11.552754060313097 0.32694966890707056 0.0
17.428377434131328 0.14657666628981247 0.0
26.292288263107537 0.06263657095594466 0.0
