r ed err
0.12542953543000893 0.023363535642478506 0.002813358141249549
0.18922183173374835 0.020475293266062233 0.0028682058993497557
0.2854582972178391 0.013729339162200593 0.002001634685174714
0.4306397348756603 0.010385158084225687 0.002078242992196793
0.6496591027874654 0.010240576195284734 0.001645948568816464
0.9800696862226984 0.00824312404813915 0.0014133988849515868
1.478524022416255 0.010235808433507187 0.002269015332811415
2.2304876026593243 0.007022995227018158 0.002001292423794905
3.364892873019744 0.006278599518511729 0.0011868951694833914
5.076246123672545 0.008274317603286174 0.0012622783131539912
7.657977736740074 0.005220497792174317 0.0010000044371014823
11.552754060313097 0.004258607432042261 0.00035064257999667804
17.428377434131328 0.002527591245776062 0.00047255554404076284
26.292288263107537 0.0012340879016522477 0.0002880858774014692
