r ee err
0.12542953543000893 -0.001332706940448808 0.0025084426395622895
0.18922183173374835 -0.00043156822915094704 0.0011035248086045833
0.2854582972178391 0.000719390716349666 0.0012088904465389584
0.4306397348756603 -5.968519959584917e-05 0.0007651640960662852
0.6496591027874654 6.337910298237492e-05 0.0004427251280049047
0.9800696862226984 8.624779345586808e-05 0.00036615012004686035
1.478524022416255 4.577049958386925e-05 0.0004913474380557379
2.2304876026593243 -6.26804490088062e-05 0.0002599556155225839
3.364892873019744 -6.563551986392691e-05 0.00023137321156082503
5.076246123672545 -4.178881472077234e-05 0.00020092501976703606
7.657977736740074 -4.331999597589897e-06 0.00012835519835496293
11.552754060313097 4.8767532771221145e-06 6.541581197218907e-05
17.428377434131328 1.3759810634306202e-05 3.942581170411365e-05
26.292288263107537 -2.4150905867603712e-06 2.124156148819924e-05
