r ed err
0.12542953543000893 0.02249236418574129 0.0026780860267678953
0.18922183173374835 0.01780965623191198 0.0013489793203983256
0.2854582972178391 0.012046080534991566 0.0014765891988180475
0.4306397348756603 0.008635134858239302 0.0007968238938861777
0.6496591027874654 0.007147045742741437 0.0009729881309394298
0.9800696862226984 0.007086648275153184 0.000872005807328798
1.478524022416255 0.008824496749292388 0.0016508532375384285
2.2304876026593243 0.008409464585724507 0.0015383774474082776
3.364892873019744 0.006127455129202636 0.0011706181189105875
5.076246123672545 0.004323320456376079 0.0006971971159095323
7.657977736740074 0.0035909128237732015 0.0005596732294567687
11.552754060313097 0.002458652434982528 0.00020805302032757955
17.428377434131328 0.001578681486514566 0.0002867365904499469
26.292288263107537 0.0009077742691803115 0.00010514068818031079
