r ed_1 ed_err_1 ed_2 ed_err_2 cc_ed_1 cc_err_1 cc_ed_2 cc_err_2 cs_ed_1 cs_err_1 cs_ed_2 cs_err_2 sc_ed_1 sc_err_1 sc_ed_2 sc_err_2 ss_ed_1 ss_err_1 ss_ed_2 ss_err_2
0.11294627058970837 0.3698860331847783 0.004585866500053364 0.0019340238926830553 0.0005130143798750065 0.0 0.0 0.0 0.0 0.1640140135395102 0.002341652667115567 0.0006492343747460093 0.0002647908519276555 0.16502409364205384 0.002317351383195539 0.00028909392318448635 0.00016501533665757136 0.04084792600320446 0.0033859010864322726 0.0009956955947525601 0.0002909506813037
0.14219093021276402 0.34762972205646075 0.004047726199733598 0.0028111088533961204 0.0005055244401947386 0.0 0.0 0.0 0.0 0.1558307115086011 0.0031288010739379014 0.0006627204930066597 0.00021233835110389432 0.14918791837100834 0.0024281585388475847 0.00060226586200991 0.00018481335394221986 0.04261109217684725 0.0021637662493744214 0.0015461224983795503 0.00047328170947729195
0.17900777537149964 0.3226492370598977 0.0036131126089273677 0.0028659263682926945 0.00046879687795585065 0.0 0.0 0.00011543808624287324 6.514126788446966e-05 0.1494001008055668 0.00183610256614449 0.0008887859630398896 0.00019801352221021095 0.1307085508565943 0.0020690563587643404 0.0006255405290719131 0.00019167300074127 0.04254058539773912 0.001889349070898077 0.0012361617899380162 0.0003174880940200539
0.22535743732392297 0.2902052936915832 0.0037765468876591757 0.005142781903409912 0.0005938310493291594 0.0 0.0 0.0014183428411612044 0.00029469267906918743 0.1327887883996929 0.002315303124455581 0.0013301076432130352 0.00026861532726289977 0.11124756448412737 0.0017568422929256523 0.0007777392638205656 0.00019116897458632378 0.04616894080776534 0.002471594742151351 0.0016165921552151112 0.00042283741520842853
0.28370820458389795 0.2425186217918022 0.0031962720428883045 0.012429834409752523 0.0007813361484464238 0.0 0.0 0.008307068838294922 0.0005547273567515329 0.11015191637143602 0.001838291785335945 0.001759342021393809 0.00022412738241244943 0.08840560256346884 0.001613300389706061 0.0009626098068143417 0.00023977132654903077 0.04396110285689548 0.0014773391301451636 0.0014008137432494519 0.000239049731969272
0.35716746828516754 0.18280797657063555 0.0017891002547286755 0.022025808336048686 0.0009623945239014783 0.0 0.0 0.016036330244766212 0.0008527448840412981 0.07147622418334316 0.0014546512563732511 0.0027583989135663697 0.000258351845304845 0.06550926644280987 0.0007052871126812399 0.0017611558415595266 0.00024275256461036584 0.0458224859444804 0.001422504998619895 0.0014699233361564732 0.0003116535901433897
0.4496472020903847 0.1335202554595074 0.0020090773662691276 0.02734164188481436 0.0011973495344307808 0.0 0.0 0.020662625224145734 0.000988381740239608 0.042551448730809585 0.0009143227208114037 0.004146319475363541 0.0003024990318711885 0.045571445493510436 0.0007966672246377024 0.0012395319686018499 0.0002749496960079973 0.045397361235186395 0.0008822448391550943 0.0012931652167034336 0.00019281062353494592
0.5660722890537326 0.09602345531720856 0.00142430680573345 0.03353890748507822 0.0011596293754907833 0.0 0.0 0.0220032442835066 0.0008712426973427702 0.02197559764100793 0.0006231409760231812 0.007784850487500965 0.00034904949519830005 0.029324995838461473 0.0005723664795291399 0.0021716852689105857 0.0003324037669255194 0.044722861837736924 0.0011621741198639256 0.0015791274451596082 0.00017325399194669005
0.7126427896022373 0.07285949603370061 0.001254374699792315 0.0389099498888828 0.0009397659595431074 0.0 0.0 0.02434671385149412 0.0006328700677693518 0.011948077457670082 0.0004062684419479072 0.011239773591175835 0.00037328789133894463 0.018583899911894887 0.0005232670184778003 0.0018510602997300711 0.0003198111770865417 0.04232751866413468 0.0007443295697208236 0.0014724021464827602 0.0001754394114635401
0.8971641173621405 0.05180463699888186 0.000919964361563386 0.0449224834465551 0.0013211999666927863 0.0 0.0 0.026028192560594722 0.000786956969150646 0.00528480847269981 0.00028262381416341954 0.015035944748430874 0.00047699186120610867 0.009551599633867206 0.0002449264117971864 0.001860255060683173 0.0003980081284824126 0.03696822889231461 0.0007977123804659535 0.0019980910768468774 0.00015659996153236192
