r ed ee
0.11294627058970837 0.20304623238813085 0.028634212667658365
0.14219093021276402 0.19717604341658118 0.041530696122683286
0.17900777537149964 0.17296149017729262 0.031915555715954835
0.22535743732392297 0.1583577524560112 0.025407991231334248
0.28370820458389795 0.13221272331144784 0.025242469469280826
0.35716746828516754 0.11633227650668843 0.020582855645669418
0.4496472020903847 0.09326024995362747 0.011805035818488963
0.5660722890537326 0.07691369833086947 0.00944528625010227
0.7126427896022373 0.06358843539901632 0.00634142429295198
0.8971641173621405 0.049950991441099435 4.464127175618504e-05
1.1294627058970832 0.04197335259853535 0.0007743106141121503
1.42190930212764 0.034028013049982986 -0.00042335358185424665
1.7900777537149961 0.025390543799043208 -0.00021170342026566313
2.2535743732392293 0.01888866814119794 0.001580636401947666
2.8370820458389785 0.013530588567502055 0.00017395152883897813
3.5716746828516746 0.008968891246864619 0.0008551633614305998
4.4964720209038465 0.006556523824962079 8.566927613984365e-05
5.6607228905373255 0.006015798726543009 -0.0003051769811736049
7.1264278960223715 0.004434098384663299 0.00023674231077408514
8.971641173621403 0.0031857677965181908 0.00019748738097336016
11.294627058970828 0.0028730886441014625 -4.866106664080938e-05
14.219093021276393 0.0018305948433159913 8.1232230932482e-05
17.900777537149956 0.0015796304467070033 0.00013706248624117956
22.53574373239229 0.001408469481282315 4.253669855724951e-05
28.370820458389794 0.0008370693990787381 3.986477978640268e-05
35.71674682851674 0.0005141598418157978 1.984337732907626e-05
44.96472020903845 0.0003127226248457182 1.1134064648032904e-05
56.60722890537326 0.00022214618304455813 -1.7921434051770824e-05
