r ee err
0.11294627058970837 0.2760437285448632 0.006027968384001352
0.14219093021276402 0.2464241941733884 0.0051315436154648324
0.17900777537149964 0.21212172193935624 0.004724933343065381
0.22535743732392297 0.17070939384883016 0.003920371806797995
0.28370820458389795 0.13005870720808388 0.0034143654287357014
0.35716746828516754 0.09367219931240905 0.0025530083638800735
0.4496472020903847 0.0628939703815724 0.0026375254200320815
0.5660722890537326 0.03997911047153119 0.0023235391182465166
0.7126427896022373 0.029368097179392705 0.0017944654805283355
0.8971641173621405 0.018444546853260968 0.001494311101282088
1.1294627058970832 0.014766083918916595 0.0011271721814985695
1.42190930212764 0.008411249241045804 0.0012892050481398548
1.7900777537149961 0.006680230010644994 0.0009875781455705682
2.2535743732392293 0.006189730146093586 0.0008615209288888241
2.8370820458389785 0.005022447143380238 0.0008347984807120253
3.5716746828516746 0.004260078752478524 0.0005201429805140681
4.4964720209038465 0.0035581880903872154 0.0004614868453447163
5.6607228905373255 0.002858433041567965 0.0003003446383130419
7.1264278960223715 0.00229435967444791 0.0002154388539883875
8.971641173621403 0.001532510052541347 0.00026212919994360036
11.294627058970828 0.0013061758053020678 0.00013297127491173296
14.219093021276393 0.0009552254456100528 9.723655073503836e-05
17.900777537149956 0.0007117203463403721 0.00010149216063701912
22.53574373239229 0.00035976741260296263 8.740332867458748e-05
28.370820458389794 0.0001813591197467601 6.139202278485572e-05
35.71674682851674 0.0001596606150718327 4.29189687996468e-05
44.96472020903845 8.77924574337885e-05 2.8245660158842832e-05
56.60722890537326 8.138396205276122e-05 2.0374031424171775e-05
