r ed ee
0.11294627058970837 0.31548540329677094 0.18920634135723607
0.14219093021276402 0.29324680086421157 0.16805757584823983
0.17900777537149964 0.26977738809693025 0.1463693495538197
0.22535743732392297 0.24616912438637956 0.11892509620282138
0.28370820458389795 0.21200169611365433 0.09265251541125902
0.35716746828516754 0.17134540843237472 0.06128600624887437
0.4496472020903847 0.1357657808457624 0.04265517417200587
0.5660722890537326 0.11102140666912813 0.02846416782925343
0.7126427896022373 0.09375101054203078 0.01746197798213056
0.8971641173621405 0.08048479556832555 0.00896201530951729
1.1294627058970832 0.07233085546785006 0.008768683043100745
1.42190930212764 0.06332562744948589 0.004493188185635155
1.7900777537149961 0.05454850343001283 0.0034420442349278324
2.2535743732392293 0.04633179932870474 0.0031801235736027
2.8370820458389785 0.03932388952061833 0.0023773798334699725
3.5716746828516746 0.031002216632451174 0.001931159003927374
4.4964720209038465 0.026448900349804294 0.0011363900267246652
5.6607228905373255 0.021594810045634183 0.0008603164285662657
7.1264278960223715 0.017263861825595694 0.0012110425724359275
8.971641173621403 0.014082703195421875 0.0007626435610390558
11.294627058970828 0.010996924924484841 0.000714591018589894
14.219093021276393 0.008898909492390028 0.0004801660852811751
17.900777537149956 0.006981395612842778 0.00035026768273482833
22.53574373239229 0.005246195288037492 2.4766757842353826e-05
28.370820458389794 0.0036589821218637186 4.544457498806276e-05
35.71674682851674 0.002438639993367242 2.045986405718736e-05
44.96472020903845 0.0016319355485562292 5.7499597232835153e-05
56.60722890537326 0.0009896561446809948 3.9813453364623275e-05
