r ee_1 ee_err_1 ee_2 ee_err_2 cc_ee_1 cc_err_1 cc_ee_2 cc_err_2 cs_ee_1 cs_err_1 cs_ee_2 cs_err_2 sc_ee_1 sc_err_1 sc_ee_2 sc_err_2 ss_ee_1 ss_err_1 ss_ee_2 ss_err_2
0.11294627058970837 0.3674778924444577 0.03600276276496795 0.0 0.0 0.0 0.0 0.0 0.0 0.16842822561049836 0.014476157806047359 0.0 0.0 0.1684282256104985 0.014476157806047607 0.0 0.0 0.030621441223461762 0.010070498099167456 0.0 0.0
0.14219093021276402 0.36251842404721546 0.022682846983794684 0.003809288932984483 0.0058356554892105604 0.0 0.0 0.0 0.0 0.1664133617927138 0.012030259258208137 0.0 0.0 0.1664133617927137 0.012030259258208525 0.0 0.0 0.029691700461775487 0.009473869291954333 0.003809288932984483 0.0058356554892105604
0.17900777537149964 0.32798061221637614 0.019068231038243316 0.004178294842321793 0.004431517937923739 0.0 0.0 0.0 0.0 0.15078367276465227 0.009087663272605876 0.0015245827442210988 0.0015313635888163193 0.15078367276465227 0.009087663272606015 0.0015245827442210988 0.0015313635888163193 0.026413266687075058 0.007323623340684811 0.0011291293538795966 0.001728359119468496
0.22535743732392297 0.3302933418890739 0.018364021761442587 0.0 0.0 0.0 0.0 0.0 0.0 0.14637659241614437 0.009278049703649514 0.0 0.0 0.14637659241614442 0.009278049703649567 0.0 0.0 0.03754015705678261 0.009689178811662189 0.0 0.0
0.28370820458389795 0.2956420942769158 0.014540638878388449 0.0006272618212337715 0.0015687783042015258 0.0 0.0 0.0 0.0 0.1435554898858792 0.0052985936745825295 0.0006586306007099695 0.0006588799557234061 0.1435554898858792 0.005298593674582661 0.0006586306007099695 0.0006588799557234061 0.008531114505142264 0.005260931478641961 -0.0006899993801861677 0.0006903017848459579
0.35716746828516754 0.25729064882887814 0.009236239062110827 0.0 0.0 0.0 0.0 0.0 0.0 0.11466301832066093 0.005935533079386752 0.0 0.0 0.11466301832066095 0.0059355330793867 0.0 0.0 0.027964612187554687 0.008695621818249536 0.0 0.0
0.4496472020903847 0.24626866309092538 0.01104321516114329 0.002204390021997305 0.0009070216127644833 0.0 0.0 0.0003895349435183982 0.0007667046440276779 0.10592516321715108 0.004828717382740537 0.0006868203447711966 0.0003657289250514176 0.10592516321715102 0.004828717382740569 0.0006868203447711966 0.0003657289250514176 0.03441833665663216 0.005342348382352391 0.00044121438893651396 0.00044222622229070835
0.5660722890537326 0.1494855955869676 0.01110643413401162 0.011808095938941372 0.004740421551431762 0.0 0.0 0.007566173912991378 0.0028611620315225437 0.06721594353213425 0.0042195645807016425 0.001379556652965969 0.000978146492968366 0.0672159435321342 0.0042195645807014 0.001379556652965969 0.000978146492968366 0.015053708522694971 0.0037171798231081 0.001482808720018062 0.001004818507343119
0.7126427896022373 0.11089604964133765 0.005389449538132863 0.01429143116105273 0.004111702700657573 0.0 0.0 0.011198649491924693 0.0032551441128853393 0.04781528560164728 0.003263814828385723 0.0011394694604976332 0.0010863074860704934 0.047815285601647356 0.0032638148283857344 0.0011394694604976328 0.001086307486070494 0.015265478438048154 0.007082095936778902 0.0008138427481327856 0.0006488157198896198
0.8971641173621405 0.07186590620083318 0.005565491133837376 0.02663602957937689 0.006215717869974295 0.0 0.0 0.018314820538795306 0.005971891493388288 0.027577128525952038 0.0024993998421309464 0.003735167811602099 0.0015949145843153702 0.027577128525952004 0.002499399842130857 0.0037351678116020978 0.0015949145843153747 0.016711649148922897 0.00482440076301666 0.0008508734173772936 0.0009527742726849456
